n,d,epsilon,delta,mechanism1_mse,mechanism2_mse,mechanism3_mse,mechanism1_sd,mechanism2_sd,mechanism3_sd
50,1,1.0,1e-05,47.03131224461426,25.021313648424957,14.211050961666349,6.7908419615965645,4.974204387549415,3.7503068040266063
50,1,1.0,0.0001,34.94423172202925,18.48810002809217,9.767227371976169,5.895129199544785,4.277893645936022,3.110595841860383
50,1,2.0,1e-06,12.068390587362689,6.860410006012967,5.103743139979055,3.4459484105489877,2.600882440533993,2.239545253184767
50,1,2.0,1e-05,10.998464028115372,6.023910085260146,3.9452538680896465,3.2946426989139823,2.440263673402416,1.9671667184276866
50,1,2.0,0.0001,8.73463150343439,4.319417938916876,2.9083933722703565,2.9381241837361265,2.06328083996172,1.689652022466397
50,1,5.0,1e-06,2.0579167921582466,1.1643156669035246,0.9384444044867977,1.4249167582590674,1.0693348680004322,0.9644807753060963
50,1,5.0,1e-05,1.580621454291027,0.9518135619319509,0.7516159952070236,1.2510958216547472,0.9655373919458802,0.8628200289888184
50,1,5.0,0.0001,1.3659810927794802,0.7827427497152011,0.6100792109908981,1.1624644753522264,0.8820889008808471,0.775289611059039
50,5,0.05,1e-06,20052.0613501192,11508.815315654821,4886.148778563982,140.78458308966896,106.34850140270501,69.53905778703287
50,5,0.05,1e-05,15941.41031203519,9514.866506776501,3208.3737196649267,125.34760627924379,97.105209888577,56.43065431932574
50,5,0.05,0.0001,14950.980059002362,7479.355531848734,1937.5422424307849,121.47313676798251,85.96232485509407,43.55763634947247
50,5,0.1,1e-06,5169.307766840968,2871.274694946129,1257.1398652069286,71.47767328513746,53.30533311671817,35.23043975259129
50,5,0.1,1e-05,3978.453003305932,2314.287456670926,898.4453432464368,62.814207946304805,47.800371400576765,29.701403570018982
50,5,0.1,0.0001,3505.7436611277103,1844.569604344383,602.2929638948663,58.89186928571142,42.50648626303018,24.38671303131078
50,5,0.5,1e-06,205.6011972612479,107.50151553576045,63.457291788390044,14.274511927735764,10.304145506271379,7.889748830728829
50,5,0.5,1e-05,179.32784929881382,88.92373127583218,54.41477911388408,13.360769351044848,9.299239530768537,7.288907785182245
50,5,0.5,0.0001,131.06428039107576,75.05121063556454,35.11763036130405,11.400629915735525,8.636860710035108,5.862113728079304
50,5,1.0,1e-06,49.67881520357183,27.984896142513314,19.24085590473033,7.0091174531720695,5.267792515713529,4.35926472323361
50,5,1.0,1e-05,42.739032584814574,22.517946222187156,13.69295568810008,6.489503072934545,4.718461755549443,3.661345924002616
50,5,1.0,0.0001,36.2160146440241,19.074092942423306,10.632673511581535,5.975396239794168,4.321941989932866,3.237804552687926
50,5,2.0,1e-06,13.84184303220859,6.470816545130562,5.265939743309286,3.673333077383684,2.5024405987933127,2.27545900739654
50,5,2.0,1e-05,10.70173943473813,5.731118962106619,4.102290545677766,3.2376203859322414,2.3707610858311776,2.0142002621641755
50,5,2.0,0.0001,8.648704761954326,4.9033649385554865,3.2291746824460206,2.9276357784716094,2.1983425604454827,1.7843695121858576
50,5,5.0,1e-06,2.0605492178643288,1.1668164297362114,0.9091274385329535,1.426297768182494,1.0747006171954354,0.9479180071327633
50,5,5.0,1e-05,1.827622365510755,0.8755821856169408,0.7453704347308694,1.3421689879233996,0.9284432301183225,0.8578129017236347
50,5,5.0,0.0001,1.3356307334611333,0.7625018854627909,0.6683887648922102,1.1476722098003969,0.8676804905238316,0.8136382753480854
50,10,0.05,1e-06,19981.64809608778,11509.764129937013,5005.428273514833,140.800724186079,106.41658223888071,70.14907179712564
50,10,0.05,1e-05,16562.262263187207,9524.28920190841,3359.4925355649284,126.96896048108233,96.22923431192422,57.57239762105163
50,10,0.05,0.0001,14261.176803849787,7280.188114218344,1929.9958836486549,118.5072980833161,85.00479504654177,43.54903092697069
50,10,0.1,1e-06,5515.241685535669,2754.3805981264595,1376.492550492962,73.90577448733451,52.06614743386456,36.8436516198841
50,10,0.1,1e-05,4069.569708735669,2287.4677362598654,1006.6297941859059,63.19442960197514,47.521663730011184,31.609375366433756
50,10,0.1,0.0001,3576.976067637831,1878.1048133470067,610.3263038350395,59.411383038909364,43.04200269220003,24.59739878279718
50,10,0.5,1e-06,217.2074924774916,110.50051864385382,64.76805597503781,14.640309859271387,10.446530333328841,7.99830895294077
50,10,0.5,1e-05,160.8190426832424,96.18282054959681,48.4442947883024,12.574679399203886,9.702738247862543,6.922558936110723
50,10,0.5,0.0001,146.4187142610478,78.66169317370957,32.5531017374515,12.030683189727013,8.82080435489179,5.675297238125372
50,10,1.0,1e-06,55.109297138389294,28.539925916796022,17.38316615858847,7.3691488366364,5.289220849300466,4.135847357877127
50,10,1.0,1e-05,45.9165260045712,23.165222203926213,13.301875560768389,6.716551171292903,4.75803707470069,3.6192692910053217
50,10,1.0,0.0001,35.68550348431716,18.735582572187994,10.639049207890881,5.949519402889644,4.30580156172543,3.2348931579883504
50,10,2.0,1e-06,12.4950781608517,7.1474253123249465,4.975393828416579,3.50804308979992,2.658316009277681,2.2172610071178336
50,10,2.0,1e-05,10.525325777988481,5.89353806984724,3.8357676026782714,3.2072045900501713,2.412272166981443,1.9534614858581503
50,10,2.0,0.0001,9.188795321683026,4.861682726534431,3.185258079888221,2.995761129718564,2.1901258098767338,1.7761526393715492
50,10,5.0,1e-06,2.1781555858108836,1.1097351821190873,0.9869863517914016,1.464148005791476,1.0458593737142654,0.9857070521816936
50,10,5.0,1e-05,1.6740947265820965,0.9978051453043808,0.7424072933704887,1.288309971587615,0.9934240840960642,0.8557919539009052
50,10,5.0,0.0001,1.3292804858217684,0.7336263448059908,0.6798188418416495,1.1422755806088847,0.8491948371524496,0.8157226633509553
50,50,0.05,1e-06,20173.446832731257,11974.38140363822,4857.921697844063,140.8664642828805,108.52339585030359,69.12217731257832
50,50,0.05,1e-05,15884.508857135414,9654.336400363864,3267.2495592384766,125.27934241445419,97.5286987561648,56.592725517597856
50,50,0.05,0.0001,13519.92008170248,7686.61796160809,2089.2328970302087,115.67102840574637,87.23546543484778,45.25247444867974
50,50,0.1,1e-06,5023.958012701753,2851.2297420268596,1461.4722109372863,70.0493576482681,53.01567922533726,38.06432022568796
50,50,0.1,1e-05,4565.879089390503,2395.74421483792,946.0907931414501,67.30938957003079,48.608344293195614,30.59430423014779
50,50,0.1,0.0001,3595.6940292400636,1771.8086621401267,533.5963052742027,59.40570289683035,41.90223535683934,22.897519804901208
50,50,0.5,1e-06,193.59124960196613,112.40894127832675,63.7121747885158,13.731397260549716,10.554608235476461,7.9353848355965795
50,50,0.5,1e-05,166.66438927765444,99.03620065884608,46.54299249031784,12.836503842147533,9.881440571333252,6.763005958114998
50,50,0.5,0.0001,146.3095289497716,70.9661209935677,37.019296298711836,12.060932411918643,8.362543781581595,6.040661533558396
50,50,1.0,1e-06,51.30030715185442,28.139555659001683,16.739965339599035,7.094540259673375,5.261717328003665,4.053932986557257
